Product Size,Weight Kgs,Thick MM,Gauges,Category,forecast_month,week_label,week_start_day,week_end_day,weekly_share,predicted_weekly_demand,predicted_monthly_demand,allocation_basis
"3""",37-38 Kgs,3.65 mm,9,Running,January,Week 5,29,31,0.096774,0.003,0.027,calendar_day_share
"3""",38-39 Kgs,3.25 mm,10,Running,January,Week 1,1,7,0.225806,52.106,230.756,calendar_day_share
"3""",38-39 Kgs,3.25 mm,10,Running,January,Week 2,8,14,0.225806,52.106,230.756,calendar_day_share
"3""",38-39 Kgs,3.25 mm,10,Running,January,Week 3,15,21,0.225806,52.106,230.756,calendar_day_share
"3""",38-39 Kgs,3.25 mm,10,Running,January,Week 4,22,28,0.225806,52.106,230.756,calendar_day_share
"3""",38-39 Kgs,3.25 mm,10,Running,January,Week 5,29,31,0.096774,22.331,230.756,calendar_day_share
"3""",45-46 Kgs,3.65 mm,9,Running,January,Week 1,1,7,0.225806,1.526,6.759,calendar_day_share
"3""",45-46 Kgs,3.65 mm,9,Running,January,Week 2,8,14,0.225806,1.526,6.759,calendar_day_share
"3""",45-46 Kgs,3.65 mm,9,Running,January,Week 3,15,21,0.225806,1.526,6.759,calendar_day_share
"3""",45-46 Kgs,3.65 mm,9,Running,January,Week 4,22,28,0.225806,1.526,6.759,calendar_day_share
"3""",45-46 Kgs,3.65 mm,9,Running,January,Week 5,29,31,0.096774,0.654,6.759,calendar_day_share
"3""",50-52 Kgs,4 mm,8,Running,January,Week 1,1,7,0.225806,0.005,0.023,calendar_day_share
