Product Size,Weight Kgs,Thick MM,Gauges,Category,forecast_month,week_label,week_start_day,week_end_day,weekly_share,predicted_weekly_demand,predicted_monthly_demand,allocation_basis
"2½""",32-34 Kgs,3 mm,10,Running,July,Week 1,1,7,0.225806,17.43,77.19,calendar_day_share
"2½""",32-34 Kgs,3 mm,10,Running,July,Week 2,8,14,0.225806,17.43,77.19,calendar_day_share
"2½""",32-34 Kgs,3 mm,10,Running,July,Week 3,15,21,0.225806,17.43,77.19,calendar_day_share
"2½""",32-34 Kgs,3 mm,10,Running,July,Week 4,22,28,0.225806,17.43,77.19,calendar_day_share
"2½""",32-34 Kgs,3 mm,10,Running,July,Week 5,29,31,0.096774,7.47,77.19,calendar_day_share
"2½""",32-34 Kgs,5 mm,5,Running,July,Week 1,1,7,0.225806,1.105,4.895,calendar_day_share
"2½""",32-34 Kgs,5 mm,5,Running,July,Week 2,8,14,0.225806,1.105,4.895,calendar_day_share
"2½""",32-34 Kgs,5 mm,5,Running,July,Week 3,15,21,0.225806,1.105,4.895,calendar_day_share
"2½""",32-34 Kgs,5 mm,5,Running,July,Week 4,22,28,0.225806,1.105,4.895,calendar_day_share
"2½""",32-34 Kgs,5 mm,5,Running,July,Week 5,29,31,0.096774,0.474,4.895,calendar_day_share
"2½""",37-38 Kgs,3.65 mm,9,Running,July,Week 1,1,7,0.225806,6.676,29.564,calendar_day_share
"2½""",37-38 Kgs,3.65 mm,9,Running,July,Week 2,8,14,0.225806,6.676,29.564,calendar_day_share
"2½""",37-38 Kgs,3.65 mm,9,Running,July,Week 3,15,21,0.225806,6.676,29.564,calendar_day_share
"2½""",37-38 Kgs,3.65 mm,9,Running,July,Week 4,22,28,0.225806,6.676,29.564,calendar_day_share
"2½""",37-38 Kgs,3.65 mm,9,Running,July,Week 5,29,31,0.096774,2.861,29.564,calendar_day_share
"2½""",52-54 Kgs,5 mm,6,Running,July,Week 1,1,7,0.225806,1.652,7.317,calendar_day_share
"2½""",52-54 Kgs,5 mm,6,Running,July,Week 2,8,14,0.225806,1.652,7.317,calendar_day_share
"2½""",52-54 Kgs,5 mm,6,Running,July,Week 3,15,21,0.225806,1.652,7.317,calendar_day_share
"2½""",52-54 Kgs,5 mm,6,Running,July,Week 4,22,28,0.225806,1.652,7.317,calendar_day_share
"2½""",52-54 Kgs,5 mm,6,Running,July,Week 5,29,31,0.096774,0.708,7.317,calendar_day_share
"3""",32-34 Kgs,2.65 mm,12,Running,July,Week 1,1,7,0.225806,29.218,129.395,calendar_day_share
"3""",32-34 Kgs,2.65 mm,12,Running,July,Week 2,8,14,0.225806,29.218,129.395,calendar_day_share
"3""",32-34 Kgs,2.65 mm,12,Running,July,Week 3,15,21,0.225806,29.218,129.395,calendar_day_share
"3""",32-34 Kgs,2.65 mm,12,Running,July,Week 4,22,28,0.225806,29.218,129.395,calendar_day_share
"3""",32-34 Kgs,2.65 mm,12,Running,July,Week 5,29,31,0.096774,12.522,129.395,calendar_day_share
"3""",37-38 Kgs,3.65 mm,9,Running,July,Week 1,1,7,0.225806,0.93,4.12,calendar_day_share
"3""",37-38 Kgs,3.65 mm,9,Running,July,Week 2,8,14,0.225806,0.93,4.12,calendar_day_share
"3""",37-38 Kgs,3.65 mm,9,Running,July,Week 3,15,21,0.225806,0.93,4.12,calendar_day_share
"3""",37-38 Kgs,3.65 mm,9,Running,July,Week 4,22,28,0.225806,0.93,4.12,calendar_day_share
"3""",37-38 Kgs,3.65 mm,9,Running,July,Week 5,29,31,0.096774,0.399,4.12,calendar_day_share
"3""",38-39 Kgs,3.25 mm,10,Running,July,Week 1,1,7,0.225806,47.813,211.744,calendar_day_share
"3""",38-39 Kgs,3.25 mm,10,Running,July,Week 2,8,14,0.225806,47.813,211.744,calendar_day_share
"3""",38-39 Kgs,3.25 mm,10,Running,July,Week 3,15,21,0.225806,47.813,211.744,calendar_day_share
"3""",38-39 Kgs,3.25 mm,10,Running,July,Week 4,22,28,0.225806,47.813,211.744,calendar_day_share
"3""",38-39 Kgs,3.25 mm,10,Running,July,Week 5,29,31,0.096774,20.491,211.744,calendar_day_share
"3""",45-46 Kgs,3.65 mm,9,Running,July,Week 1,1,7,0.225806,7.333,32.474,calendar_day_share
"3""",45-46 Kgs,3.65 mm,9,Running,July,Week 2,8,14,0.225806,7.333,32.474,calendar_day_share
"3""",45-46 Kgs,3.65 mm,9,Running,July,Week 3,15,21,0.225806,7.333,32.474,calendar_day_share
"3""",45-46 Kgs,3.65 mm,9,Running,July,Week 4,22,28,0.225806,7.333,32.474,calendar_day_share
"3""",45-46 Kgs,3.65 mm,9,Running,July,Week 5,29,31,0.096774,3.143,32.474,calendar_day_share
"3""",50-52 Kgs,4 mm,8,Running,July,Week 1,1,7,0.225806,7.786,34.48,calendar_day_share
